VIN,year,model,description,certified,convertible,M,Mileage,Location,interior,exterior,engine,fuel,transmission,drivetrain,mpg_hw,mpg_city,driving_assistance,executive,luxury_rear_seating,M_sport,price
3MW5R1J02M8B60079,2021,3 Series,330i Sedan NA,0,0,0,2443,CA,Canberra Beige SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,40995
3MW5R1J03M8B52766,2021,3 Series,330i Sedan NA,0,0,0,2955,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,1,0,0,0,41995
3MW5R1J06M8B61848,2021,3 Series,330i Sedan NA,0,0,0,2706,CA,Canberra Beige SensaTec,Blue Ridge Mountain Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,1,0,0,0,42995
3MW5U7J00M8B55383,2021,3 Series,M340i Sedan NA,0,0,1,4829,CA,Black SensaTec,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,1,0,0,0,52995
3MW5U7J00M8B59241,2021,3 Series,M340i Sedan NA,0,0,1,3268,CA,Black Leather w/blue stitching,Mineral Grey Metallic,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,1,0,0,0,54995
3MW5U7J01M8B54680,2021,3 Series,M340i Sedan NA,0,0,1,3470,CA,Oyster Vernasca Leather,Portimao Blue Metallic,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,1,0,0,0,55995
3MW5U7J04M8B63292,2021,3 Series,M340i Sedan NA,0,0,1,2098,CA,Black SensaTec,Alpine White,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,0,0,0,0,53995
3MW5U7J09M8B53342,2021,3 Series,M340i Sedan NA,0,0,1,2840,CA,Black SensaTec,Alpine White,Straight 6 Cylinder Engine 3.0L,Hybrid,Automatic,RWD,32,23,0,0,0,0,51995
5UX2V1C0XM9D90538,2021,X4,X4 xDrive30i,0,0,0,4807,CA,Black SensaTec,Carbon Black Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,29,23,0,0,0,1,52995
5UXCR6C56KLK83114,2019,X5,X5 xDrive40i,1,0,0,26992,CA,Coffee Vernasca Leather,Mineral White Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,26,20,0,0,0,0,59995
5UXJU2C5XKLN67098,2019,X5,X5 xDrive50i,1,0,0,26653,CA,Black Vernasca Leather,Black Sapphire Metallic,8 Cylinder Engine 4.4L,Gasoline,Automatic,AWD,22,17,0,0,0,1,68995
5UXKR0C3XH0X83178,2017,X5,X5 xDrive35i,0,0,0,21980,CA,Black SensaTec,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,0,0,0,0,39995
5UXKR0C50JL072675,2018,X5,X5 xDrive35i,1,0,0,30043,CA,Black Dakota Leather,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,43995
5UXKR0C52J0X91153,2018,X5,X5 xDrive35i,1,0,0,29798,CA,Black Dakota Leather,Alpine White,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,0,0,0,0,43995
5UXKR0C52JL070247,2018,X5,X5 xDrive35i,1,0,0,35869,CA,Black Dakota Leather,Glacier Silver Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,42995
5UXKR0C53J0Y02760,2018,X5,X5 xDrive35i,1,0,0,25783,CA,Mocha Dakota Leather,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,44995
5UXKR0C54J0Y01679,2018,X5,X5 xDrive35i,1,0,0,37482,CA,Black Dakota Leather,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,43995
5UXKR0C58J0Y03273,2018,X5,X5 xDrive35i,1,0,0,40462,CA,Black Dakota Leather,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,44995
5UXKR0C58J0Y05251,2018,X5,X5 xDrive35i,1,0,0,23614,CA,Black Dakota Leather,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,0,45995
5UXKR0C59J0Y02410,2018,X5,X5 xDrive35i,1,0,0,32664,CA,Black SensaTec,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,0,0,0,0,41995
WBAJR3C0XLWW85050,2020,5 Series,530i Sedan,0,0,0,2987,CA,Mocha Nappa Leather,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,33,25,1,0,0,0,48995
WBAJR7C05LCE44671,2020,5 Series,530i xDrive Sedan,0,0,0,3089,CA,Black Dakota Leather,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,24,0,0,0,0,49995
WBAJV6C52JBC99500,2018,6 Series,640i xDrive Gran Turismo,1,0,0,26974,CA,Leather Dakota Black/Blue Stit,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,28,20,1,1,0,1,45995
WBAPL5C50BA742564,2011,3 Series,335i xDrive Sedan,0,0,0,110432,CA,Black Dakota Leather,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Manual,AWD,26,19,0,0,0,1,10995
WBAPN7C54BA781079,2011,3 Series,335d Sedan,0,0,0,50532,CA,Black Dakota Leather,Titanium Silver Metallic,Straight 6 Cylinder Engine 3.0L,Diesel,Automatic,RWD,36,23,0,0,0,0,15995
WBAVB73588KY63738,2008,3 Series,335i Sedan,0,0,0,103832,CA,Terra Brown Dakota Leather,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,29,19,0,0,0,0,47175
WBAVM1C53FV319537,2015,X1,X1 sDrive28i,0,0,0,80968,CA,Black Nevada Leather,Midnight Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,23,0,0,0,0,14995
WBS6C9C58ED466863,2014,6 Series,M6 Gran Coupe,0,0,1,42728,CA,AmaroBrown Full Merino Leather,Imperial Blue Metallic,8 Cylinder Engine 4.4L,Gasoline,Manual,RWD,20,14,1,1,0,0,46995
WBS6E9C54JG808280,2018,6 Series,M6 Gran Coupe,1,0,1,22386,CA,Black Full Merino Leather,Black Sapphire Metallic,8 Cylinder Engine 4.4L,Gasoline,Manual,RWD,20,14,1,1,0,0,79995
WBSJF0C58KB285136,2019,5 Series,M5 Sedan,0,0,1,12827,CA,Black Full Merino Leather,Black Sapphire Metallic,8 Cylinder Engine 4.4L,Gasoline,Automatic,AWD,21,15,1,1,0,0,89995
WBXHT3C30J5L27569,2018,X1,X1 xDrive28i,1,0,0,18875,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,31995
WBXHT3C31J5L26446,2018,X1,X1 xDrive28i,1,0,0,25875,CA,Mocha Dakota Leather,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,29995
WBXHT3C33H5F85114,2017,X1,X1 xDrive28i SULEV,1,0,0,28212,CA,Canberra Beige SensaTec,Mediterranean Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,1,0,0,0,27995
WBXHT3C34J5F92112,2018,X1,X1 xDrive28i,1,0,0,31435,CA,Black SensaTec,Sunset Orange Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,28995
WBXHT3C35J5F89719,2018,X1,X1 xDrive28i,1,0,0,35656,CA,Black SensaTec,Estoril Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,1,29995
WBXHT3C35J5K28925,2018,X1,X1 xDrive28i,1,0,0,27338,CA,Black Perforated Dakota Leathe,Glacier Silver Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,29995
WBXHT3C36H5F85267,2017,X1,X1 xDrive28i SULEV,1,0,0,26841,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,25995
WBXHT3C36J5F90121,2018,X1,X1 xDrive28i,1,0,0,14833,CA,Canberra Beige Dakota Leather,Mediterranean Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,31995
WBXHT3C36J5K21353,2018,X1,X1 xDrive28i,1,0,0,22555,CA,Canberra Beige Dakota Leather,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,30995
WBXHT3C36J5L24370,2018,X1,X1 xDrive28i,1,0,0,34348,CA,Canberra Beige Dakota Leather,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,22,0,0,0,0,29995
5UXKR2C54J0X08558,2018,X5,X5 sDrive35i,1,0,0,34167,CA,Black SensaTec,Jet Black,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,0,0,0,0,36881
5UXKR2C54J0Z17508,2018,X5,X5 sDrive35i,1,0,0,30328,CA,Black Dakota Leather,Alpine White,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,1,0,0,1,42881
5UXKR2C55J0X07824,2018,X5,X5 sDrive35i,1,0,0,30445,CA,Black SensaTec,Mineral White Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,0,0,0,0,35881
5UXKR2C55J0X08682,2018,X5,X5 sDrive35i,1,0,0,37327,CA,Mocha Dakota Leather,Mineral White Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,1,0,0,1,40881
5UXKR2C56J0Z20149,2018,X5,X5 sDrive35i,1,0,0,14689,CA,Canberra Beige/Black Dakota Le,Alpine White,Straight 6 Cylinder Engine 3.0,Gasoline,Automatic,RWD,25,18,0,0,0,0,41881
5UXKR2C58J0X08451,2018,X5,X5 sDrive35i,1,0,0,23058,CA,Black SensaTec,Alpine White,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,0,0,0,0,38881
5UXKR2C59J0X10709,2018,X5,X5 sDrive35i,1,0,0,9329,CA,Black Dakota Leather,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,0,0,0,1,46820
5UXKT0C53J0W01717,2018,X5,X5 xDrive40e iPerformance,1,0,0,44160,CA,Terra Brown Dakota Leather,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,–,–,1,0,0,0,37881
5UXKU0C34H0G68190,2017,X6,X6 sDrive35i,1,0,0,29776,CA,Black Dakota Leather,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,1,0,0,0,40881
5UXKU0C37H0G68149,2017,X6,X6 sDrive35i,1,0,0,26136,CA,Black Dakota Leather,Space Gray Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,25,18,1,0,0,0,41881
5UXKU0C58J0G69723,2018,X6,X6 sDrive35i,1,0,0,19625,CA,Black Dakota Leather,Jet Black,Straight 6 Cylinder Engine 3.0,Gasoline,Automatic,RWD,25,18,1,0,0,0,47881
5UXKU2C56J0X51104,2018,X6,X6 xDrive35i,1,0,0,11835,CA,Canberra Beige/Black Dakota Le,Carbon Black Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,24,18,1,0,0,1,53881
5UXKU2C58J0Z61512,2018,X6,X6 xDrive35i,1,0,0,25778,CA,Coral Red/Black Dakota Leather,Alpine White,Straight 6 Cylinder Engine 3.0,Gasoline,Automatic,AWD,24,18,0,0,0,1,52881
5UXTR7C50KLR53777,2019,X3,X3 sDrive30i,0,0,0,10993,CA,Oyster Vernasca Leather,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,30,23,1,0,0,0,39920
5UXTR7C52KLE97395,2019,X3,X3 sDrive30i,0,0,0,43917,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,30,23,0,0,0,0,29881
5UXTR7C57KLE94847,2019,X3,X3 sDrive30i,0,0,0,17488,CA,Black Vernasca Leather,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,30,23,1,0,0,0,34885
5UXTR7C58KLR51842,2019,X3,X3 sDrive30i,0,0,0,11082,CA,Oyster Vernasca Leather,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,30,23,1,0,0,0,36920
5UXTR7C59KLE88578,2019,X3,X3 sDrive30i,0,0,0,19003,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,30,23,0,0,0,0,33881
5UXTR7C59KLF23751,2019,X3,X3 sDrive30i,0,0,0,19923,CA,Oyster Vernasca Leather,Phytonic Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,30,23,0,0,0,1,37881
5UXTR9C52JLD63464,2018,X3,X3 xDrive30i,1,0,0,17083,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,29,22,1,0,0,0,35881
5UXTR9C57JLC79589,2018,X3,X3 xDrive30i,1,0,0,22922,CA,Mocha Vernasca Leather,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,29,22,1,0,0,0,36881
5UXTR9C57JLD65906,2018,X3,X3,0,0,0,39983,CA,Mocha Vernasca Leather,Phytonic Blue Metallic,4 Cylinder Engine 2.0,Gasoline,–,AWD,29,22,0,0,0,0,33881
5UXTR9C58KLP88914,2019,X3,X3 xDrive30i,0,0,0,14589,CA,Mocha Vernasca Leather,Mineral White Metallic,4 Cylinder Engine 2.0,Gasoline,Automatic,AWD,29,22,0,0,0,0,37885
5UXTR9C59JLC76242,2018,X3,X3 xDrive30i,1,0,0,18262,CA,Canberra Beige Vernasca Lthr,Phytonic Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,29,22,0,0,0,1,38881
5UXTS1C09L9D03305,2020,X3,X3 xDrive30e,0,0,0,4660,CA,Canberra Beige/Black SensaTec,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,–,–,1,0,0,0,46895
5UXTS3C51J0Y93859,2018,X3,X3 M40i,0,0,1,9026,CA,Mocha Vernasca Leather,Alpine White,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,27,20,1,1,0,0,47670
5UXTS3C53J0Z02013,2018,X3,X3 M40i,1,0,1,42638,CA,Black SensaTec,Dark Graphite Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,27,20,1,0,0,0,37881
5UXTS3C56J0Y98698,2018,X3,X3 M40i,1,0,1,6580,CA,Black Vernasca Leather,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,AWD,27,20,0,1,0,0,47885
5UXTY3C00M9E10612,2021,X3,X3 sDrive30i,0,0,0,4473,CA,Black SensaTec,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,42845
5UXTY3C01M9E00588,2021,X3,X3 sDrive30i,0,0,0,5357,CA,Canberra Beige/Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,41495
5UXTY3C01M9E71094,2021,X3,X3,0,0,0,377,CA,K8SW Black SensaTec,0A90 Dark Graphite Metallic,4 Cylinder Engine 2.0L,Gasoline,–,RWD,29,25,0,0,0,0,41545
5UXTY3C03M9E10684,2021,X3,X3 sDrive30i,0,0,0,5568,CA,Canberra Beige/Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,38995
5UXTY3C04L9D53152,2020,X3,X3 sDrive30i,0,0,0,4132,CA,Black SensaTec,Phytonic Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,38995
5UXTY3C06M9E10520,2021,X3,X3 sDrive30i,0,0,0,3549,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,29,25,0,0,0,0,41995
5UXTY3C07M9E10431,2021,X3,X3 sDrive30i,0,0,0,5251,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,38995
5UXTY3C07M9F20394,2021,X3,X3,0,0,0,444,CA,BLACK SENSATEC,JET BLACK,4 Cyl. 2.0L,Gasoline,–,RWD,29,25,0,0,0,0,41495
5UXTY3C08M9E17114,2021,X3,X3 sDrive30i,0,0,0,4312,CA,Canberra Beige/Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,40995
5UXTY3C0XL9C96407,2020,X3,X3 sDrive30i,0,0,0,11384,CA,Mocha Vernasca Leather,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,1,0,0,0,40995
5UXTY3C0XM9D97514,2021,X3,X3 sDrive30i,0,0,0,4772,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,42845
5UXTY3C0XM9E17096,2021,X3,X3 sDrive30i,0,0,0,4533,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,29,25,0,0,0,0,40995
5UXWX9C30H0T18341,2017,X3,X3 xDrive28i,1,0,0,28874,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,28,21,0,0,0,0,25881
5UXWX9C32H0W69333,2017,X3,X3 xDrive28i,1,0,0,27617,CA,Black SensaTec,Melbourne Red Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,28,21,1,0,0,0,27881
5UXWZ7C30H0X41466,2017,X3,X3 sDrive28i,1,0,0,21869,CA,Black SensaTec,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,28,21,0,0,0,0,24881
5UXXW3C56J0Z60557,2018,X4,X4,1,0,0,30424,CA,Black Nevada leather,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,28,20,0,0,0,1,38881
5UXXW3C59J0T81787,2018,X4,X4 xDrive28i,1,0,0,35836,CA,Black Nevada Leather,Black Sapphire Metallic,4 Cylinder Engine 2.0,Gasoline,Automatic,AWD,28,20,1,0,0,0,33881
5UXXW7C5XJ0W64416,2018,X4,X4 M40i,1,0,1,24916,CA,Mocha Nevada Leather,Glacier Silver Metallic,Straight 6 Cylinder Engine 3.0,Gasoline,Automatic,AWD,25,18,1,0,0,1,37881
5YMCY0C01L9B05657,2020,X6,X6 M Competition,0,0,1,8626,CA,Sakhir Orange/Black Full Lthr,Black Sapphire Metallic,8 Cylinder Engine 4.4L,Gasoline,Automatic,AWD,18,13,0,1,0,0,119795
5YMJU0C03L9B02486,2020,X5,X5 M Competition,0,0,1,4607,CA,Black Full Merino w Midrand B,Mineral White Metallic,8 Cylinder Engine 4.4L,Gasoline,Automatic,AWD,18,13,0,1,0,0,118695
5YMJU0C04L9B02478,2020,X5,X5 M Competition,0,0,1,7088,CA,Ivory/Blue Full Merino Lthr,Tanzanite Blue II Metallic,8 Cylinder Engine 4.4L,Gasoline,Automatic,AWD,18,13,0,1,0,0,114845
WBA13AL02L7F88475,2020,2 Series,M235xi Gran Coupe,0,0,1,4569,CA,Magma Red Dakota Leather,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,32,23,0,0,0,0,43995
WBA13AL0XL7F56129,2020,2 Series,M235xi Gran Coupe,0,0,1,1015,CA,Magma Red Dakota Leather,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,32,23,0,0,0,0,43745
WBA1F9C52FVW98473,2015,2 Series,228i Coupe SULEV,0,0,0,56113,CA,Black Dakota Leather,Jet Black,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,36,23,1,0,0,0,17881
WBA2J1C57JVD09276,2018,2 Series,230i Coupe,1,0,0,39411,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,35,24,0,0,0,0,23881
WBA4J1C53KBU67400,2019,4 Series,430i Gran Coupe,0,0,0,11416,CA,Leather Black/Red hghlgt/Stitc,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,24,1,0,0,0,33970
WBA4J1C55JBG77286,2018,4 Series,430i Gran Coupe,1,0,0,19320,CA,Cognac Lthr w/Dark Brown hglgt,Imperial Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,24,0,0,0,0,29881
WBA4J1C57JBG75829,2018,4 Series,430i Gran Coupe,1,0,0,40032,CA,Coral Red Dakota Leather,Black Sapphire Metallic,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,34,24,0,0,0,0,26881
WBA4J1C57KBM12156,2019,4 Series,4 Series,0,0,0,3069,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,24,0,0,0,0,31995
WBA4J1C58JBG78643,2018,4 Series,430i Gran Coupe,1,0,0,12533,CA,Black SensaTec/Red Stitching,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,24,0,0,0,0,29881
WBA4J1C58JBG79520,2018,4 Series,430i Gran Coupe,1,0,0,30234,CA,Coral Red Dakota Leather,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,24,0,0,0,0,28881
WBA4J1C59JBG79008,2018,4 Series,430i Gran Coupe,1,0,0,17693,CA,Black SensaTec,Imperial Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,24,0,0,0,0,28881
WBA4J1C5XJBG79387,2018,4 Series,430i Gran Coupe,1,0,0,36055,CA,Black SensaTec/Red Stitching,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,34,24,0,0,0,0,27871
WBA4J3C06LBL12020,2020,4 Series,430i xDrive Gran Coupe,0,0,0,9739,CA,Black SensaTec,Carbon Black Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,31,21,0,0,0,1,37885
WBA4J3C07LBL11524,2020,4 Series,430i xDrive Gran Coupe,0,0,0,15174,CA,Coral Red Dakota Leather,Black Sapphire Metallic,4 Cylinder Engine 2.0,Gasoline,Automatic,AWD,31,21,0,0,0,1,37860
WBA4J3C59JBG96385,2018,4 Series,430i xDrive Gran Coupe,1,0,0,28489,CA,Cognac Lr DkBrwnHghlt/CgncDash,Alpine White,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,33,23,0,0,0,0,30881
WBA4J5C53JBF06351,2018,4 Series,440i Gran Coupe,0,0,0,47461,CA,Cognac Lthr w/Dark Brown hglgt,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0,Gasoline,Automatic,RWD,32,21,0,1,0,1,31881
WBA4P1C52HK522345,2017,4 Series,4 Series,1,0,0,27363,CA,Oyster Dakota Leather,Mineral White Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,32,21,1,0,0,0,30881
WBA4R9C35HK878814,2017,4 Series,430i xDrive Coupe SULEV,1,0,0,42563,CA,Oyster Dakota Leather,Melbourne Red Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,AWD,33,23,1,0,0,0,25881
WBA4U7C31H5J55107,2017,4 Series,430i Convertible SULEV,0,1,0,15106,CA,Black SensaTec,Mineral Grey Metallic,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,34,23,1,0,0,0,35881
WBA4U7C54H5H19417,2017,4 Series,4 Series,0,0,0,54517,CA,Black SensaTec/Red stitching,Alpine White,4 Cylinder Engine 2.0L,Gasoline,–,RWD,34,23,0,0,0,0,32881
WBA4W3C56JAE99598,2018,4 Series,430i Coupe,1,0,0,37040,CA,Leather Black/Red hghlgt/Stitc,Jet Black,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,34,24,0,0,0,0,26881
WBA4W3C5XJAC38670,2018,4 Series,430i Coupe,1,0,0,27207,CA,Black SensaTec/Red Stitching,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Manual,RWD,34,24,0,0,0,0,30881
WBA4W7C56JAB93721,2018,4 Series,440i Coupe,1,0,0,24595,CA,Coral Red Dakota Leather,Black Sapphire Metallic,Straight 6 Cylinder Engine 3.0L,Gasoline,Automatic,RWD,32,21,0,1,0,1,38881
WBA4Z1C56JEC72979,2018,4 Series,430i Convertible,1,1,0,21328,CA,Black Dak Lthr w/ Oyster hglgt,Black Sapphire Metallic,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,34,24,0,0,0,1,42881
WBA4Z1C59JEC72121,2018,4 Series,430i Convertible,1,1,0,24639,CA,Black Dak Lthr w/ Oyster hglgt,Jet Black,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,34,24,0,0,0,0,38881
WBA5A5C54ED506449,2014,5 Series,528i Sedan,0,0,0,93921,CA,Black SensaTec,Alpine White,4 Cylinder Engine 2.0,Gasoline,Automatic,RWD,34,23,0,0,0,0,15881
WBA5P7C0XMFJ83185,2021,3 Series,330e Sedan,0,0,0,1277,CA,Black SensaTec,Mineral Grey Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,–,–,0,0,0,1,45670
WBA5R1C0XLFH94245,2020,3 Series,330i Sedan,0,0,0,7920,CA,Black Vernasca Leather,Sunset Orange Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,1,39845
WBA5R1C51KAK12859,2019,3 Series,330i Sedan,0,0,0,7177,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,33845
WBA5R1C54KAK12094,2019,3 Series,330i Sedan,0,0,0,7339,CA,Oyster Vernasca Leather,Mineral White Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,36870
WBA5R1C55KAK12914,2019,3 Series,3 Series,0,0,0,15200,CA,Canberra Beige,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,1,0,0,0,30495
WBA5R1C56KFH01179,2019,3 Series,3 Series,0,0,0,21803,CA,Black SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,30995
WBA5R1C56KFH02445,2019,3 Series,3 Series,0,0,0,9309,CA,Black SensaTec,Mediterranean Blue Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,31945
WBA5R1C57KFH25992,2019,3 Series,3 Series,0,0,0,18860,CA,Black SensaTec,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,30945
WBA5R1C57KFH29881,2019,3 Series,330i Sedan,0,0,0,9851,CA,Canberra Beige SensaTec,Jet Black,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,1,0,0,0,32795
WBA5R1C58KFH05508,2019,3 Series,3 Series,0,0,0,19677,CA,Black SensaTec,Black Sapphire Metallic,4 Cylinder Engine 2.0L,Gasoline,Automatic,RWD,36,26,0,0,0,0,30945
