VIN,year,model,description,certified,convertible,M,Mileage,Location,interior,exterior,engine,fuel,transmission,drivetrain,mpg_hw,mpg_city,driving_assistance,executive,luxury_rear_seating,M_sport,price
5UXTY3C00M9E05054,2021,X3,X3 sDrive30i,0,0,0,6147,CA,Black SensaTec,Jet Black,2.0L 4 Cylinder,Gasoline,Automatic,RWD,29,25,0,0,0,0,42188
5UXTY3C02M9D82750,2021,X3,X3 sDrive30i,0,0,0,5940,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,29,25,0,0,0,1,46288
5UXTY3C02M9D96728,2021,X3,X3 sDrive30i,0,0,0,5444,CA,Black SensaTec,Phytonic Blue Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,29,25,0,0,0,0,43228
5UXTY3C04M9E06935,2021,X3,X3 sDrive30i,0,0,0,5859,CA,Black SensaTec,Dark Graphite Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,29,25,0,0,0,0,44288
WBA13AG09MCF08463,2021,5 Series,530e Sedan,0,0,0,6004,CA,Black Perforated SensaTec,Jet Black,2.0L 4 Cylinder,Hybrid,Automatic,RWD,–,–,0,0,0,0,52588
WBA2J1C54JVD09025,2018,2 Series,230i Coupe,1,0,0,33872,CA,Black SensaTec,Melbourne Red Metallic,2.0L 4 Cylinder,Gasoline,Automatic,AWD,35,24,0,0,0,0,27788
WBA2K9C3XHV950553,2017,2 Series,230i Convertible SULEV,1,1,0,20054,CA,Black SensaTec/Red Stitching,Alpine White,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,23,1,0,0,0,29988
WBA4J1C56JBG77121,2018,4 Series,430i Gran Coupe,1,0,0,44345,CA,Black SensaTec,Black Sapphire Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,24,0,0,0,1,29988
WBA53BJ01MWW92132,2021,5 Series,540i Sedan,0,0,0,6482,CA,Black Perforated SensaTec,Dark Graphite Metallic,3.0L Straight 6 Cylinder,Gasoline,Automatic,RWD,32,25,0,0,0,1,61588
WBA7E2C57KB217634,2019,7 Series,740i Sedan,1,0,0,14800,CA,Black Dakota Leather,Mineral White Metallic,3.0L Straight 6 Cylinder,Gasoline,Automatic,RWD,29,21,0,0,0,1,52988
WBA8A9C51GK617687,2016,3 Series,320i Sedan,0,0,0,60410,CA,Black SensaTec,Jet Black,2.0L 4 Cylinder,Gasoline,Automatic,RWD,36,24,0,0,0,0,16588
WBA8A9C58JK623400,2018,3 Series,320i Sedan,1,0,0,15971,CA,Black SensaTec,Mineral Grey Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,35,24,0,0,0,0,24988
WBA8B9G57JNU97911,2018,3 Series,330i Sedan SA,1,0,0,25644,CA,Black SensaTec/Red Stitching,Alpine White,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,24,0,0,0,0,26988
WBAJA5C56JWA39227,2018,5 Series,530i Sedan,1,0,0,21440,CA,Black Dakota Leather,Mineral White Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,24,0,0,0,0,32988
WBAJA5C59KWA58016,2019,5 Series,530i Sedan,1,0,0,23986,CA,Black Dakota Leather,Dark Graphite Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,24,0,0,0,0,35988
WBAJE5C59JWA95876,2018,5 Series,540i Sedan,1,0,0,21329,CA,Black Dakota Leather,Alpine White,3.0L Straight 6 Cylinder,Gasoline,Automatic,RWD,30,21,1,0,0,0,38988
WBS8M9C57J5K99292,2018,3 Series,M3 Sedan,0,0,1,35969,CA,Black Extended Merino Leather,Sakhir Orange II Metallic,3.0L Straight 6 Cylinder,Gasoline,Manual,RWD,–,–,0,0,0,0,57988
WBXHT3C37J5L24572,2018,X1,X1 xDrive28i,1,0,0,27132,CA,Black SensaTec,Mineral Grey Metallic,2.0L 4 Cylinder,Gasoline,Automatic,AWD,31,22,0,0,0,0,26388
WBXJG7C00M5S06371,2021,X1,X1 sDrive28i,0,0,0,4561,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 Cylinder,Gasoline,Automatic,FWD,33,24,0,0,0,0,33988
WBXJG7C06M5S11039,2021,X1,X1 sDrive28i,0,0,0,6563,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 Cylinder,Gasoline,Automatic,FWD,33,24,0,0,0,0,33588
WBXYJ3C35JEJ89758,2018,X2,X2 sDrive28i,1,0,0,28392,CA,Oyster/Black SensaTec,Jet Black,2.0L 4 Cylinder,Gasoline,Automatic,FWD,32,23,0,0,0,0,26788
WBXYJ3C35JEP76879,2018,X2,X2,1,0,0,27427,CA,Black,Black Sapphire Metallic,2.0L 4 Cylinder,Gasoline,Automatic,FWD,32,23,0,0,0,0,27988
WBY2Z6C51KVB83201,2019,i8,i8 Roadster,0,0,0,4325,CA,Giga Amido Full Perforated Lea,Crystal White w/Frozen Grey,1.5L 3 Cylinder,Electric,Automatic,AWD,–,–,0,0,0,0,113988
WBY7Z2C52JVB88792,2018,i3,i3 BEV,1,0,0,12051,CA,Deka Dark Cloth,Capparis White/BMW i Frozen Bl,Electric Motor,Electric,Automatic,RWD,106,129,0,0,0,0,21988
WBY7Z8C59JVB86797,2018,i3,i3 Sport Rex,1,0,0,36381,CA,Mega (Sensatec and Cloth),Capparis White/BMW i Frozen Bl,Electric Motor,Electric,Automatic,RWD,–,–,0,0,0,0,23388
3MW5R1J00M8B53129,2021,3 Series,330i Sedan NA,0,0,0,4079,CA,Black SensaTec,Mineral White Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,36,26,1,0,0,0,43855
3MW5R1J05M8B50369,2021,3 Series,330i Sedan NA,0,0,0,4195,CA,Black Vernasca Leather,Alpine White,2.0L 4 Cylinder,Gasoline,Automatic,RWD,36,26,1,0,0,0,47495
3MW5R1J08M8B53007,2021,3 Series,330i Sedan NA,0,0,0,5505,CA,Black SensaTec,Mineral White Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,36,26,1,0,0,0,43375
3MW5U7J04M8B55757,2021,3 Series,M340i Sedan NA,0,0,1,5100,CA,Black SensaTec,Portimao Blue Metallic,3.0L Straight 6 Cylinder,Gasoline,Automatic,RWD,32,23,1,0,0,0,57045
5UX2V1C03M9E84311,2021,X4,X4 xDrive30i,0,0,0,4959,CA,Black SensaTec,Dark Graphite Metallic,2.0L 4 Cylinder,Gasoline,Automatic,AWD,29,23,0,0,0,0,53945
5UX2V1C07M9E84697,2021,X4,X4 xDrive30i,0,0,0,5362,CA,Black SensaTec,Jet Black,2.0L 4 CYLINDER,Gasoline,Automatic,AWD,29,23,0,0,0,0,53395
